
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Подчерье (до 1 января 2017 года);;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;
Муниципальный район;18;18;18;18;18;18;;;1;1;1;1;
Брыкаланск;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;;;
Ижма;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;1;1;1;1;
Том;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;1;;1;;;
Кельчиюр;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Кипиево;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Краснобор;;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;;;;;;;
Мохча;;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;3;;;;;;0;
Няшабож;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;;;
Сизябск;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Щельяюр;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;;;;;
Муниципальный район Княжпогостский;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;
Муниципальный район;21;21;21;19;19;20;20;18;1;1;17;1;
Емва;;;;;;;;;;;;;
Городское поселение;7;7;7;5;5;5;5;6;6;6;6;1;
Синдор;;;;;;;;;;;;;
Городское поселение;2;2;2;2;2;1;;;;;;;
Вожаёль (до 1 января 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Иоссер;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;1;1;
Княжпогост (до 1 января 2013 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;;;
Мещура;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;;;2;2;
Серёгово;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;2;2;2;
Тракт;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;2;2;2;2;1;
Туръя;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;;;;;
Чиньяворык;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;1;1;
Шошка.;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;
Муниципальный район Койгородский;;;;;;;;;;;;;
Муниципальный район;14;14;14;14;12;12;12;1;2;1;1;1;
Грива;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Кажым;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Койгородок;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;1;2;2;1;1;
Койдин;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Ком ( до 1 января 2020 года);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;0;
Кузьёль;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;1;;
Нючпас (до 1 января 2023 г);;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;;;;;;
Подзь;;;;;;;;;;;;;
Сельское поселение;3;3;3;3;3;2;2;;;;;;
Ужга;;;;;;;;;;;;;
Сельское поселение;3;3;3;3;2;2;2;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;
Муниципальный район Корткеросский;;;;;;;;;;;;;
Муниципальный район;22;22;22;22;22;22;1;1;1;1;1;1;
Богородск;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;;;
Большелуг;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;1;1;1;1;0;;
Вомын;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;;1;
Додзь;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;;;;;;;
Керес;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;;;;1;;
Корткерос;;;;;;;;;;;;;
Сельское поселение;2;2;2;2;2;2;2;2;2;2;2;2;
Намск;;;;;;;;;;;;;
Сельское поселение;1;1;1;1;1;1;;1;;;;;
